name,instagram,followers,url
marshmello,marshmellomusic,28857210,https://socialblade.com/instagram/user/marshmellomusic
Ranveer Singh,ranveersingh,28843827,https://socialblade.com/instagram/user/ranveersingh
disha patani (paatni),dishapatani,28716383,https://socialblade.com/instagram/user/dishapatani
+A,maisa,28685347,https://socialblade.com/instagram/user/maisa
Laudya Cynthia Bella,laudyacynthiabella,28664490,https://socialblade.com/instagram/user/laudyacynthiabella
Victoria Beckham,victoriabeckham,27642651,https://socialblade.com/instagram/user/victoriabeckham
Wesley Safadão,wesleysafadao,27580886,https://socialblade.com/instagram/user/wesleysafadao
Joko Widodo,jokowi,27514358,https://socialblade.com/instagram/user/jokowi
Larissa Manoela,larissamanoela,27395995,https://socialblade.com/instagram/user/larissamanoela
chrissy teigen,chrissyteigen,27336621,https://socialblade.com/instagram/user/chrissyteigen
Marshall Mathers,eminem,26907199,https://socialblade.com/instagram/user/eminem
Shay Mitchell,shaymitchell,26867137,https://socialblade.com/instagram/user/shaymitchell
Paris Saint-Germain,psg,26740002,https://socialblade.com/instagram/user/psg
Amanda Cerny,amandacerny,26356653,https://socialblade.com/instagram/user/amandacerny
Luan Santana,luansantana,25941218,https://socialblade.com/instagram/user/luansantana
Vogue,voguemagazine,25785880,https://socialblade.com/instagram/user/voguemagazine
marilia mendonça,mariliamendoncacantora,25580795,https://socialblade.com/instagram/user/mariliamendoncacantora
gusttavolima,gusttavolima,25500740,https://socialblade.com/instagram/user/gusttavolima
KAROL G,karolg,25380664,https://socialblade.com/instagram/user/karolg
Marvel Studios,marvelstudios,25370257,https://socialblade.com/instagram/user/marvelstudios
adidas,adidas,25237429,https://socialblade.com/instagram/user/adidas
50 Cent,50cent,25173402,https://socialblade.com/instagram/user/50cent
Emily Ratajkowski,emrata,25111371,https://socialblade.com/instagram/user/emrata
BMW,bmw,25101504,https://socialblade.com/instagram/user/bmw
Gisella Anastasia,gisel_la,25081058,https://socialblade.com/instagram/user/gisel_la
433,433,25065700,https://socialblade.com/instagram/user/433
LaLiga,laliga,25028158,https://socialblade.com/instagram/user/laliga
Mercedes-Benz,mercedesbenz,25025445,https://socialblade.com/instagram/user/mercedesbenz
Nusr_et#Saltbae,nusr_et,24978959,https://socialblade.com/instagram/user/nusr_et
Lamborghini,lamborghini,24673433,https://socialblade.com/instagram/user/lamborghini
Sabrina Sato,sabrinasato,24645878,https://socialblade.com/instagram/user/sabrinasato
Kevinho,kevinho,24525928,https://socialblade.com/instagram/user/kevinho
Luna Maya,lunamaya,24507312,https://socialblade.com/instagram/user/lunamaya
Nancy Ajram,nancyajram,24472385,https://socialblade.com/instagram/user/nancyajram
Ciara,ciara,24238316,https://socialblade.com/instagram/user/ciara
Sonam K Ahuja,sonamkapoor,24232357,https://socialblade.com/instagram/user/sonamkapoor
Hailey Baldwin Bieber,haileybieber,24186506,https://socialblade.com/instagram/user/haileybieber
Paolla Oliveira,paollaoliveirareal,23702798,https://socialblade.com/instagram/user/paollaoliveirareal
Sommer Ray,sommerray,23690856,https://socialblade.com/instagram/user/sommerray
Eliana Michaelichen,eliana,23659196,https://socialblade.com/instagram/user/eliana
Becky G,iambeckyg,23549090,https://socialblade.com/instagram/user/iambeckyg
Juanpa Zurita,eljuanpazurita,23479671,https://socialblade.com/instagram/user/eljuanpazurita
M·A·C Cosmetics,maccosmetics,23415559,https://socialblade.com/instagram/user/maccosmetics
Scott Disick,letthelordbewithyou,23304251,https://socialblade.com/instagram/user/letthelordbewithyou
Dolce & Gabbana,dolcegabbana,23284008,https://socialblade.com/instagram/user/dolcegabbana
Juliana Paes Actress Brazil,julianapaes,23257707,https://socialblade.com/instagram/user/julianapaes
YouTube,youtube,23172268,https://socialblade.com/instagram/user/youtube
simoneses,simoneses,23157248,https://socialblade.com/instagram/user/simoneses
Jennifer Aniston,jenniferaniston,23127347,https://socialblade.com/instagram/user/jenniferaniston
Floyd Mayweather,floydmayweather,22943031,https://socialblade.com/instagram/user/floydmayweather
Natasha Wilona,natashawilona12,22888506,https://socialblade.com/instagram/user/natashawilona12
Kylie Cosmetics,kyliecosmetics,22860108,https://socialblade.com/instagram/user/kyliecosmetics
Niall Horan,niallhoran,22712363,https://socialblade.com/instagram/user/niallhoran
Liverpool Football Club,liverpoolfc,22686088,https://socialblade.com/instagram/user/liverpoolfc
Disney,disney,22484214,https://socialblade.com/instagram/user/disney
raisa6690,raisa6690,22376119,https://socialblade.com/instagram/user/raisa6690
Prada,prada,22344242,https://socialblade.com/instagram/user/prada
Zach King,zachking,22308993,https://socialblade.com/instagram/user/zachking
WorldStar Hip Hop / WSHH,worldstar,22234378,https://socialblade.com/instagram/user/worldstar
BELLA,bellathorne,22171113,https://socialblade.com/instagram/user/bellathorne
Fortnite,fortnite,22143349,https://socialblade.com/instagram/user/fortnite
URVASHI RAUTELA,urvashirautela,22011748,https://socialblade.com/instagram/user/urvashirautela
PlayStation,playstation,21892983,https://socialblade.com/instagram/user/playstation
Philippe Coutinho,phil.coutinho,21771731,https://socialblade.com/instagram/user/phil.coutinho
camila mendes,camimendes,21656431,https://socialblade.com/instagram/user/camimendes
Lili Reinhart,lilireinhart,21636255,https://socialblade.com/instagram/user/lilireinhart
Mesut Özil,m10_official,21633492,https://socialblade.com/instagram/user/m10_official
TikTok,tiktok,21527666,https://socialblade.com/instagram/user/tiktok
Cameron Alexander Dallas,camerondallas,21365027,https://socialblade.com/instagram/user/camerondallas
apple,apple,21266542,https://socialblade.com/instagram/user/apple
Chelsea Olivia Wijaya,chelseaoliviaa,21204425,https://socialblade.com/instagram/user/chelseaoliviaa
NATTI NATASHA,nattinatasha,21055393,https://socialblade.com/instagram/user/nattinatasha
F e r n a n d a   S o u z a,fernandasouzaoficial,20939092,https://socialblade.com/instagram/user/fernandasouzaoficial
Via Vallen,viavallen,20935714,https://socialblade.com/instagram/user/viavallen
Reese Witherspoon,reesewitherspoon,20895184,https://socialblade.com/instagram/user/reesewitherspoon
Versace,versace,20879259,https://socialblade.com/instagram/user/versace
BAD | BUNNY,badbunnypr,20770737,https://socialblade.com/instagram/user/badbunnypr
Ashanty,ashanty_ash,20714555,https://socialblade.com/instagram/user/ashanty_ash
Jessica Iskandar,inijedar,20618336,https://socialblade.com/instagram/user/inijedar
Ashley Benson,ashleybenson,20527291,https://socialblade.com/instagram/user/ashleybenson
Giovanna Ewbank,gio_ewbank,20494779,https://socialblade.com/instagram/user/gio_ewbank
Anastasia Beverly Hills,anastasiabeverlyhills,20295196,https://socialblade.com/instagram/user/anastasiabeverlyhills
CALVIN KLEIN,calvinklein,20232295,https://socialblade.com/instagram/user/calvinklein
Chelsea FC,chelseafc,20225403,https://socialblade.com/instagram/user/chelseafc
AGNEZ MO,agnezmo,20203012,https://socialblade.com/instagram/user/agnezmo
EA SPORTS FIFA,easportsfifa,20117047,https://socialblade.com/instagram/user/easportsfifa
Sebastian Yatra,sebastianyatra,20074741,https://socialblade.com/instagram/user/sebastianyatra
WWE,wwe,19912547,https://socialblade.com/instagram/user/wwe
“REAL HASTA LA MUERTE”,anuel_2blea,19872331,https://socialblade.com/instagram/user/anuel_2blea
Claudia Leitte,claudialeitte,19816957,https://socialblade.com/instagram/user/claudialeitte
Sabrina Carpenter,sabrinacarpenter,19806766,https://socialblade.com/instagram/user/sabrinacarpenter
Ludmilla,ludmilla,19709843,https://socialblade.com/instagram/user/ludmilla
Netflix US,netflix,19667885,https://socialblade.com/instagram/user/netflix
EXO_CY,real__pcy,19648568,https://socialblade.com/instagram/user/real__pcy
FC Bayern München,fcbayern,19639232,https://socialblade.com/instagram/user/fcbayern
Porsche,porsche,19488923,https://socialblade.com/instagram/user/porsche
SUPER MEGA  BINTANG,ivan_gunawan,19430875,https://socialblade.com/instagram/user/ivan_gunawan
Amber Rose,amberrose,19324493,https://socialblade.com/instagram/user/amberrose
Sephora,sephora,19309481,https://socialblade.com/instagram/user/sephora
Jordan,jumpman23,19282686,https://socialblade.com/instagram/user/jumpman23
Arnold Schwarzenegger,schwarzenegger,19234611,https://socialblade.com/instagram/user/schwarzenegger
StreetArtGlobe ™,streetartglobe,19109895,https://socialblade.com/instagram/user/streetartglobe
Sachin Tendulkar,sachintendulkar,19067819,https://socialblade.com/instagram/user/sachintendulkar
Nina Dobrev,nina,18977254,https://socialblade.com/instagram/user/nina
Andrew Bachelor,kingbach,18965629,https://socialblade.com/instagram/user/kingbach
Caio Castro,caiocastro,18915788,https://socialblade.com/instagram/user/caiocastro
Positive & Motivational Quotes,thegoodquote,18857696,https://socialblade.com/instagram/user/thegoodquote
rodrigofaro,rodrigofaro,18773884,https://socialblade.com/instagram/user/rodrigofaro
Meek Mill,meekmill,18762157,https://socialblade.com/instagram/user/meekmill
isis valverde,isisvalverde,18673579,https://socialblade.com/instagram/user/isisvalverde
Rina Nose,rinanose16,18642781,https://socialblade.com/instagram/user/rinanose16
Grazi Massafera,massafera,18595125,https://socialblade.com/instagram/user/massafera
Mia K.,miakhalifa,18592332,https://socialblade.com/instagram/user/miakhalifa
Simaria Mendes,simaria,18514312,https://socialblade.com/instagram/user/simaria
Starbucks Coffee ☕,starbucks,18470134,https://socialblade.com/instagram/user/starbucks
Liam Payne,liampayne,18465537,https://socialblade.com/instagram/user/liampayne
Sonakshi Sinha,aslisona,18364825,https://socialblade.com/instagram/user/aslisona
Isco Alarcon Suarez,iscoalarcon,18340891,https://socialblade.com/instagram/user/iscoalarcon
loren gray,loren,18278719,https://socialblade.com/instagram/user/loren
Lily Collins,lilyjcollins,18272043,https://socialblade.com/instagram/user/lilyjcollins
Victoria Justice,victoriajustice,18229090,https://socialblade.com/instagram/user/victoriajustice
Chiara Ferragni,chiaraferragni,18130523,https://socialblade.com/instagram/user/chiaraferragni
vans,vans,18042984,https://socialblade.com/instagram/user/vans
Liza Koshy,lizakoshy,17994535,https://socialblade.com/instagram/user/lizakoshy
Madelaine Petsch,madelame,17871801,https://socialblade.com/instagram/user/madelame
Sofia Vergara,sofiavergara,17866203,https://socialblade.com/instagram/user/sofiavergara
Gerard Piqué,3gerardpique,17846485,https://socialblade.com/instagram/user/3gerardpique
DJ KHALED,djkhaled,17708603,https://socialblade.com/instagram/user/djkhaled
Ferrari,ferrari,17652577,https://socialblade.com/instagram/user/ferrari
Brittanya Razavi,brittanya187,17641724,https://socialblade.com/instagram/user/brittanya187
Alicia Keys,aliciakeys,17635937,https://socialblade.com/instagram/user/aliciakeys
ufc,ufc,17591196,https://socialblade.com/instagram/user/ufc
Hannah Stocking,hannahstocking,17458054,https://socialblade.com/instagram/user/hannahstocking
Romeo Santos,romeosantos,17411775,https://socialblade.com/instagram/user/romeosantos
RICIS,riaricis1795,17371370,https://socialblade.com/instagram/user/riaricis1795
Channing Tatum,channingtatum,17325419,https://socialblade.com/instagram/user/channingtatum
The Shade Room,theshaderoom,17277724,https://socialblade.com/instagram/user/theshaderoom
pefabiodemelo,pefabiodemelo,17253776,https://socialblade.com/instagram/user/pefabiodemelo
Bhaddest Of The Bhabies,bhadbhabie,17231554,https://socialblade.com/instagram/user/bhadbhabie
Martin Garrix,martingarrix,17229761,https://socialblade.com/instagram/user/martingarrix
Sarwendah29,sarwendah29,17220720,https://socialblade.com/instagram/user/sarwendah29
Brent Rivera,brentrivera,17198181,https://socialblade.com/instagram/user/brentrivera
OZUNA,ozuna,17072927,https://socialblade.com/instagram/user/ozuna
Jessica Alba,jessicaalba,17025192,https://socialblade.com/instagram/user/jessicaalba
Mark Ruffalo,markruffalo,17015057,https://socialblade.com/instagram/user/markruffalo
Logan Paul,loganpaul,17007324,https://socialblade.com/instagram/user/loganpaul
Lucas Lucco,lucaslucco,16927512,https://socialblade.com/instagram/user/lucaslucco
Luis El Crack,luisitocomunica,16905811,https://socialblade.com/instagram/user/luisitocomunica
shreyaghoshal,shreyaghoshal,16899713,https://socialblade.com/instagram/user/shreyaghoshal
Manchester City,mancity,16882003,https://socialblade.com/instagram/user/mancity
Blac Chyna,blacchyna,16703287,https://socialblade.com/instagram/user/blacchyna
GoPro,gopro,16661309,https://socialblade.com/instagram/user/gopro
Bruno Gagliasso,brunogagliasso,16646155,https://socialblade.com/instagram/user/brunogagliasso
Arsenal Official,arsenal,16636221,https://socialblade.com/instagram/user/arsenal
Jimmy Fallon,jimmyfallon,16584852,https://socialblade.com/instagram/user/jimmyfallon
CARLINHOS MAIA,carlinhosmaiaof,16566744,https://socialblade.com/instagram/user/carlinhosmaiaof
Deborah Secco,dedesecco,16553897,https://socialblade.com/instagram/user/dedesecco
Burberry,burberry,16544965,https://socialblade.com/instagram/user/burberry
Thiago Silva,thiagosilva,16526396,https://socialblade.com/instagram/user/thiagosilva
Kaká,kaka,16474380,https://socialblade.com/instagram/user/kaka
Sandra Dewi,sandradewi88,16462804,https://socialblade.com/instagram/user/sandradewi88
FIFA World Cup,fifaworldcup,16441174,https://socialblade.com/instagram/user/fifaworldcup
earthpix,earthpix,16394324,https://socialblade.com/instagram/user/earthpix
PeytonList,peytonlist,16370820,https://socialblade.com/instagram/user/peytonlist
Robert Lewandowski,_rl9,16320806,https://socialblade.com/instagram/user/_rl9
Chloe Grace Moretz,chloegmoretz,16294463,https://socialblade.com/instagram/user/chloegmoretz
Armani,armani,16263307,https://socialblade.com/instagram/user/armani
forever21,forever21,16260761,https://socialblade.com/instagram/user/forever21
NFL,nfl,16234718,https://socialblade.com/instagram/user/nfl
Flavia Pavanelli,flaviapavanelli,16231582,https://socialblade.com/instagram/user/flaviapavanelli
Videos / Funny / Memes,epicfunnypage,16148767,https://socialblade.com/instagram/user/epicfunnypage
Jackson Wang 王嘉爾 왕잭슨,jacksonwang852g7,16127272,https://socialblade.com/instagram/user/jacksonwang852g7
Anna Kendrick,annakendrick47,16072996,https://socialblade.com/instagram/user/annakendrick47
Rockstar Games,rockstargames,16006603,https://socialblade.com/instagram/user/rockstargames
James Charles,jamescharles,15969547,https://socialblade.com/instagram/user/jamescharles
Michael Kors,michaelkors,15928530,https://socialblade.com/instagram/user/michaelkors
Luísa Gerloff Sonza,luisasonza,15916546,https://socialblade.com/instagram/user/luisasonza
farrukoofficial,farrukoofficial,15857025,https://socialblade.com/instagram/user/farrukoofficial
RITA ORA,ritaora,15797323,https://socialblade.com/instagram/user/ritaora
Iker Casillas,ikercasillas,15796622,https://socialblade.com/instagram/user/ikercasillas
Diddy,diddy,15672009,https://socialblade.com/instagram/user/diddy
Netflix Brasil,netflixbrasil,15643616,https://socialblade.com/instagram/user/netflixbrasil
Gisele Bündchen,gisele,15640771,https://socialblade.com/instagram/user/gisele
iansomerhalder,iansomerhalder,15619773,https://socialblade.com/instagram/user/iansomerhalder
Kimberly Loaiza,kimberly.loaiza,15591374,https://socialblade.com/instagram/user/kimberly.loaiza
Alok,alok,15549698,https://socialblade.com/instagram/user/alok
Lana Del Rey,lanadelrey,15538109,https://socialblade.com/instagram/user/lanadelrey
Georgina Rodríguez,georginagio,15523933,https://socialblade.com/instagram/user/georginagio
Sofia Carson,sofiacarson,15479785,https://socialblade.com/instagram/user/sofiacarson
Ronaldo,ronaldo,15479176,https://socialblade.com/instagram/user/ronaldo
Audi,audi,15456946,https://socialblade.com/instagram/user/audi
Ice Cube,icecube,15446306,https://socialblade.com/instagram/user/icecube
Tamer Hosny,tamerhosny,15444152,https://socialblade.com/instagram/user/tamerhosny
Zaskia Adya Mecca,zaskiadyamecca,15438213,https://socialblade.com/instagram/user/zaskiadyamecca
Sophie Turner,sophiet,15435622,https://socialblade.com/instagram/user/sophiet
OFFSET,offsetyrn,15412463,https://socialblade.com/instagram/user/offsetyrn
House of Highlights,houseofhighlights,15410510,https://socialblade.com/instagram/user/houseofhighlights
yuyacst,yuyacst,15379773,https://socialblade.com/instagram/user/yuyacst
dwyanewade,dwyanewade,15290507,https://socialblade.com/instagram/user/dwyanewade
Lisa and Lena | Germany®,lisaandlena,15215099,https://socialblade.com/instagram/user/lisaandlena
Thalia,thalia,15210165,https://socialblade.com/instagram/user/thalia
SportsCenter,sportscenter,15210026,https://socialblade.com/instagram/user/sportscenter
Debby Ryan,debbyryan,15152096,https://socialblade.com/instagram/user/debbyryan
Jessica Mila Agnesia,jscmila,15123638,https://socialblade.com/instagram/user/jscmila
taraji p henson,tarajiphenson,15122919,https://socialblade.com/instagram/user/tarajiphenson
QuavoHuncho,quavohuncho,15067718,https://socialblade.com/instagram/user/quavohuncho
Everson Silva,tirullipa,15042103,https://socialblade.com/instagram/user/tirullipa
Danna Paola,dannapaola,14988675,https://socialblade.com/instagram/user/dannapaola
Nia Ramadhani Bakrie,ramadhaniabakrie,14975897,https://socialblade.com/instagram/user/ramadhaniabakrie
Gabrielle Union-Wade,gabunion,14955587,https://socialblade.com/instagram/user/gabunion
Noah Schnapp,noahschnapp,14879032,https://socialblade.com/instagram/user/noahschnapp
Ruby Rose,rubyrose,14810663,https://socialblade.com/instagram/user/rubyrose
Jair M. Bolsonaro,jairmessiasbolsonaro,14779692,https://socialblade.com/instagram/user/jairmessiasbolsonaro
BAD MI,mcmirella,14764688,https://socialblade.com/instagram/user/mcmirella
Enrique Iglesias,enriqueiglesias,14744483,https://socialblade.com/instagram/user/enriqueiglesias
Wayne Rooney,waynerooney,14740156,https://socialblade.com/instagram/user/waynerooney
ESPN,espn,14690654,https://socialblade.com/instagram/user/espn
Raditya Dika,raditya_dika,14630876,https://socialblade.com/instagram/user/raditya_dika
Maia Estianty (M.E) The Queen,maiaestiantyreal,14624102,https://socialblade.com/instagram/user/maiaestiantyreal
Davido Adeleke,davidoofficial,14594361,https://socialblade.com/instagram/user/davidoofficial
Juliana Salimeni,jujusalimeni,14590412,https://socialblade.com/instagram/user/jujusalimeni
Fendi,fendi,14520120,https://socialblade.com/instagram/user/fendi
elliegoulding,elliegoulding,14501059,https://socialblade.com/instagram/user/elliegoulding
Taapsee Pannu,taapsee,14490023,https://socialblade.com/instagram/user/taapsee
Jaden Smith,c.syresmith,14487613,https://socialblade.com/instagram/user/c.syresmith
Jason Momoa,prideofgypsies,14454284,https://socialblade.com/instagram/user/prideofgypsies
Jeremy Renner,renner4real,14445150,https://socialblade.com/instagram/user/renner4real
Dmitriy Shelengovskiy,shelengovskiy,14439102,https://socialblade.com/instagram/user/shelengovskiy
NYX Professional Makeup,nyxcosmetics,14423064,https://socialblade.com/instagram/user/nyxcosmetics
Black Star,timatiofficial,14402888,https://socialblade.com/instagram/user/timatiofficial
Future Hendrix,future,14383184,https://socialblade.com/instagram/user/future
alexandra daddario,alexandradaddario,14328504,https://socialblade.com/instagram/user/alexandradaddario
Sam Smith,samsmith,14305912,https://socialblade.com/instagram/user/samsmith
Gading Marten,gadiiing,14296911,https://socialblade.com/instagram/user/gadiiing
Shilpa Shetty Kundra,theshilpashetty,14293910,https://socialblade.com/instagram/user/theshilpashetty
6ix9ine,6ix9ine,14251181,https://socialblade.com/instagram/user/6ix9ine
ollaramlan,ollaramlanaufar,14196323,https://socialblade.com/instagram/user/ollaramlanaufar
CARMEN VILLALOBOS,cvillaloboss,14189714,https://socialblade.com/instagram/user/cvillaloboss
Madison Beer,madisonbeer,14179194,https://socialblade.com/instagram/user/madisonbeer
Hilary Duff,hilaryduff,14172707,https://socialblade.com/instagram/user/hilaryduff
E! News,enews,14158218,https://socialblade.com/instagram/user/enews
Liam Hemsworth,liamhemsworth,14142703,https://socialblade.com/instagram/user/liamhemsworth
GIVENCHY,givenchyofficial,14120893,https://socialblade.com/instagram/user/givenchyofficial
Gabriel Jesus,dejesusoficial,14082679,https://socialblade.com/instagram/user/dejesusoficial
Stranger Things,strangerthingstv,14077921,https://socialblade.com/instagram/user/strangerthingstv
Louis Tomlinson,louist91,14068910,https://socialblade.com/instagram/user/louist91
:Dagelan - Asikin aja lagiii,dagelan,14051014,https://socialblade.com/instagram/user/dagelan
Hugo Gloss,hugogloss,14049438,https://socialblade.com/instagram/user/hugogloss
Odell Beckham Jr,obj,14017380,https://socialblade.com/instagram/user/obj
